timestamp,open,high,low,close,st,st_dir,ema21,psar,atr,rsi,prev_mid,signal,position,c1_below_st,c2_not_over,c3_psar,c4_ema,c5_rsi
2026-05-29 10:35:00+05:30,23918.65,23929.65,23916.4,23916.55,23873.84,UP,23917.79,23880.62,26.22,50.06,23911.53,-,FLAT,False,True,False,True,False
2026-05-29 10:40:00+05:30,23915.2,23921.0,23900.45,23900.65,23873.84,UP,23916.23,23882.1,25.82,46.03,23923.03,-,FLAT,False,True,False,True,True
2026-05-29 10:45:00+05:30,23900.9,23901.25,23889.35,23896.2,23873.84,UP,23914.41,23883.55,24.82,44.95,23910.72,-,FLAT,False,True,False,True,True
2026-05-29 10:50:00+05:30,23896.0,23896.35,23877.65,23883.4,23873.84,UP,23911.59,23954.5,24.39,41.88,23895.3,-,FLAT,False,True,True,True,True
2026-05-29 10:55:00+05:30,23884.45,23907.8,23879.65,23903.1,23873.84,UP,23910.82,23952.96,24.66,47.79,23887.0,-,FLAT,False,True,True,True,True
2026-05-29 11:00:00+05:30,23902.8,23911.2,23898.7,23908.85,23873.84,UP,23910.64,23951.46,23.79,49.4,23893.72,-,FLAT,False,True,True,True,True
2026-05-29 11:05:00+05:30,23908.85,23911.55,23904.75,23908.3,23873.84,UP,23910.43,23949.98,22.57,49.25,23904.95,-,FLAT,False,True,True,True,True
2026-05-29 11:10:00+05:30,23907.9,23912.7,23892.75,23896.85,23873.84,UP,23909.19,23948.53,22.39,45.97,23908.15,-,FLAT,False,True,True,True,True
2026-05-29 11:15:00+05:30,23897.2,23910.15,23895.25,23903.9,23873.84,UP,23908.71,23947.12,21.85,48.25,23902.72,-,FLAT,False,True,True,True,True
2026-05-29 11:20:00+05:30,23903.55,23905.2,23895.25,23902.95,23873.84,UP,23908.19,23945.73,21.0,47.96,23902.7,-,FLAT,False,True,True,True,True
2026-05-29 11:25:00+05:30,23902.95,23903.55,23888.95,23889.55,23873.84,UP,23906.49,23944.37,20.54,43.89,23900.22,-,FLAT,False,True,True,True,True
2026-05-29 11:30:00+05:30,23889.2,23893.55,23875.45,23876.8,23873.84,UP,23903.79,23943.03,20.37,40.39,23896.25,-,FLAT,False,True,True,True,True
2026-05-29 11:35:00+05:30,23877.3,23894.5,23875.35,23886.75,23873.84,UP,23902.24,23940.33,20.28,44.14,23884.5,-,FLAT,False,True,True,True,True
2026-05-29 11:40:00+05:30,23886.05,23888.9,23876.2,23885.9,23873.84,UP,23900.76,23936.43,19.74,43.88,23884.92,-,FLAT,False,True,True,True,True
2026-05-29 11:45:00+05:30,23885.55,23897.0,23883.35,23892.95,23873.84,UP,23900.05,23932.76,19.31,46.63,23882.55,-,FLAT,False,True,True,True,True
2026-05-29 11:50:00+05:30,23892.55,23914.0,23891.85,23907.8,23873.84,UP,23900.75,23929.32,19.51,51.96,23890.17,-,FLAT,False,True,True,False,False
2026-05-29 11:55:00+05:30,23908.0,23908.15,23888.05,23890.8,23873.84,UP,23899.85,23926.08,19.55,46.26,23902.92,-,FLAT,False,True,True,True,True
2026-05-29 12:00:00+05:30,23890.3,23891.65,23865.2,23870.5,23936.17,DOWN,23897.18,23923.04,20.04,40.55,23898.1,-,FLAT,True,False,True,True,True
2026-05-29 12:05:00+05:30,23870.3,23874.55,23865.85,23867.4,23924.78,DOWN,23894.47,23918.41,19.23,39.74,23878.43,-,FLAT,True,False,True,True,True
2026-05-29 12:10:00+05:30,23866.85,23867.1,23825.35,23835.7,23907.97,DOWN,23889.13,23914.15,20.86,32.59,23870.2,-,FLAT,True,False,True,True,True
2026-05-29 12:15:00+05:30,23835.95,23841.15,23815.1,23839.0,23891.51,DOWN,23884.57,23905.27,21.23,33.93,23846.22,-,FLAT,True,False,True,True,True
2026-05-29 12:20:00+05:30,23838.55,23850.5,23833.15,23849.1,23891.51,DOWN,23881.35,23894.45,20.96,37.97,23828.12,-,FLAT,True,False,True,True,True
2026-05-29 12:25:00+05:30,23849.1,23857.75,23848.1,23855.8,23891.51,DOWN,23879.03,23884.93,20.15,40.56,23841.83,-,FLAT,True,False,True,True,True
2026-05-29 12:30:00+05:30,23856.2,23858.2,23844.9,23845.6,23891.51,DOWN,23875.99,23876.55,19.66,37.96,23852.92,-,FLAT,True,False,True,True,True
2026-05-29 12:35:00+05:30,23846.15,23859.05,23840.95,23856.85,23891.51,DOWN,23874.25,23869.18,19.55,42.36,23851.55,-,FLAT,True,False,True,True,True
2026-05-29 12:40:00+05:30,23856.25,23857.5,23846.3,23849.9,23891.51,DOWN,23872.03,23862.69,18.95,40.45,23850.0,-,FLAT,True,False,True,True,True
